image_path,label
Blood cell Cancer [ALL]\Benign\Snap_057 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_193.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_255.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_212.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_802.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_128 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_015 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_328.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_454.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_244.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_054.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_098.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_510.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_422.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_465.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_328.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_050 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_084.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_099.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (18).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_139.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_205.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (26).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_658.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_029 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_197.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (104).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_123.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_158.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_188.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_014 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (17).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_228 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_315.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_004 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_317.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_117.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_812.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_010.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_016 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_017.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_172.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_284.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_090 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (133).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_759.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (43).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_001 (4).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_040 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_028.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_087.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_099.jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_089 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_067.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_066.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_116 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (1).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_634.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_305.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_045 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_038 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (12).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_197.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_028 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_540.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (34).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_088 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_259.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_274.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_253.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_464.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_292.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_089.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (27).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (146).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_569.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_086.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_723.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (51).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_499.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_280.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_00s2.jpg,malignant
